id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11268769,Restored Victorian Suite,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.2747,-66.0633,Private room,199,1,28,2021-09-06,0.39,7,174,3,
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,150,7,8,2020-08-23,0.08,1,286,0,
11268777,Cozy 31ft camper on Atlantic Ocean,58779834,Fannie,Gloucester,Beresford,47.85422,-65.76446,Entire home/apt,95,7,79,2019-09-20,1.07,2,0,0,
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,125,2,49,2022-01-03,0.66,2,331,5,
11610017,A la Belle Etoile,61457598,Stella,Restigouche,Grimmer,47.64499,-67.35582,Entire home/apt,75,1,48,2021-08-28,0.67,1,362,4,
791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.894821,-64.376556,Private room,61,1,66,2022-06-18,0.60,1,236,15,
11641558,Million Dollar View,61722341,Todd & Jessica,Charlotte,Saint David,45.22706,-67.17808,Entire home/apt,195,3,13,2022-06-17,0.24,1,282,3,
872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2019-08-18,0.03,1,294,0,
905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358,0,
950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,157,5,209,2022-05-08,1.94,2,314,18,
954893,Cozy Room in 3 Bedroom Home,2615407,Patti,Kings,Rothesay,45.35355,-66.0292,Private room,65,2,40,2020-08-18,0.41,1,124,0,
1199731,"Beautiful Victorian Mansion, Superior Suite",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,201,1,130,2021-09-06,1.25,7,320,4,
11690143,Fully renovated cottage in Shediac,62110021,Isabelle,Kent,Dundas,46.306,-64.5406,Entire home/apt,187,3,39,2021-09-04,0.54,1,321,10,
